Tipe,Name,icons_name,Desciption,n1,Reagent 1,n2,Reagent 2,n3,Reagent 3,n4,Reagent 4,Icons,icons_img
Elixir,Elixir of Major Mageblood,https://wow.zamimg.com/images/wow/icons/large/inv_potion_151.jpg,(16 mp5),1,Ancient Lichen,1,Netherbloom,1,Imbued Vial,,,Golden Sansam,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_sansamroot.jpg
Elixir,Elixir of Draenic Wisdom,https://wow.zamimg.com/images/wow/icons/large/inv_potion_155.jpg,(30 int 30 spirit),1,Felweed,1,Terocone,1,Imbued Vial,,,Gromsblood,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_16.jpg
Elixir,Elixir of Major Agility,https://wow.zamimg.com/images/wow/icons/large/inv_potion_127.jpg,(35 agi 20 crit),1,Terocone,2,Felweed,1,Imbued Vial,,,Ghost Mushroom,https://wow.zamimg.com/images/wow/icons/large/inv_mushroom_08.jpg
Elixir,Elixir of Major Strength,https://wow.zamimg.com/images/wow/icons/large/inv_potion_147.jpg,(35 str),1,Mountain Silversage,1,Felweed,1,Imbued Vial,,,Firebloom,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_19.jpg
Elixir,Fel Strength Elixir,https://wow.zamimg.com/images/wow/icons/large/inv_potion_152.jpg,(90 atk power -10 stm),1,Terocone,2,Nightmare Vine,1,Imbued Vial,,,Purple Lotus,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_17.jpg
Elixir,Elixir of Demonslaying,https://wow.zamimg.com/images/wow/icons/large/inv_potion_27.jpg,(265 atk power vs demons),1,Gromsblood,1,Ghost Mushroom,1,Crystal Vial,,,Imbued Vial,https://wow.zamimg.com/images/wow/icons/large/inv_drink_06.jpg
Elixir,Adept's Elixir,https://wow.zamimg.com/images/wow/icons/large/inv_potion_96.jpg,(24 spell dmg 24 spell crit),1,Dreamfoil,1,Felweed,1,Imbued Vial,,,Crystal Vial,https://wow.zamimg.com/images/wow/icons/large/inv_drink_06.jpg
Elixir,Elixir of Major Firepower,https://wow.zamimg.com/images/wow/icons/large/inv_potion_146.jpg,(55 fire dmg),2,Mote fo Fire,1,Ancient Lichen,1,Imbued Vial,,,Mote of Fire,https://wow.zamimg.com/images/wow/icons/large/inv_elemental_mote_fire01.jpg
Elixir,Elixir of Major Frost Power,https://wow.zamimg.com/images/wow/icons/large/inv_potion_148.jpg,(55 frost dmg),2,Mote of Water,1,Ancient Lichen,1,Imbued Vial,,,Mote of Water,https://wow.zamimg.com/images/wow/icons/large/inv_elemental_mote_water01.jpg
Elixir,Elixir of Major Shadow Power,https://wow.zamimg.com/images/wow/icons/large/inv_potion_145.jpg,(55 shadow dmg),1,Ancient Lichen,1,Nightmare Vine,1,Imbued Vial,,,Mote of Earth,https://wow.zamimg.com/images/wow/icons/large/inv_elemental_mote_earth01.jpg
Potion,Ironshield Potion,https://wow.zamimg.com/images/wow/icons/large/inv_potion_133.jpg,(2500 armor 2min),2,Ancient Lichen,3,Mote of Earth,1,Imbued Vial,,,Arcane Dust,https://wow.zamimg.com/images/wow/icons/large/inv_enchant_dustarcane.jpg
Potion,Haste Potion,https://wow.zamimg.com/images/wow/icons/large/inv_potion_108.jpg,(400 haste rating for 15 sec),2,Terocone,1,Netherbloom,1,Imbued Vial,,,Large Brilliant Shard,https://wow.zamimg.com/images/wow/icons/large/inv_enchant_shardbrilliantlarge.jpg
Potion,Insane Strength Potion,https://wow.zamimg.com/images/wow/icons/large/inv_potion_109.jpg,(120 str -75 def 15 sec),3,Terocone,1,Imbued Vial,,,,,Huge Spotted Feltail,https://wow.zamimg.com/images/wow/icons/large/inv_misc_fish_39.jpg
Potion,Heroic Potion,https://wow.zamimg.com/images/wow/icons/large/inv_potion_106.jpg,(70 str 700 hp for 15 sec),2,Terocone,1,Ancient Lichen,1,Imbued Vial,,,Furious Crawdad,https://wow.zamimg.com/images/wow/icons/large/inv_misc_fish_14.jpg
Potion,Destruction Potion,https://wow.zamimg.com/images/wow/icons/large/inv_potion_107.jpg,(120 spell dmg 2% crit rating for 15 sec),2,Nightmare Vine,1,Netherbloom,1,Imbued Vial,,,Golden Darter,https://wow.zamimg.com/images/wow/icons/large/inv_misc_fish_36.jpg
Potion,Super Mana Potion,https://wow.zamimg.com/images/wow/icons/large/inv_potion_137.jpg,(1800 to 3000 mana),2,Dreaming Glory,1,Felweed,1,Imbued Vial,,,Zangarian Sporefish,https://wow.zamimg.com/images/wow/icons/large/inv_misc_fish_34.jpg
Potion,Super Healing Potion,https://wow.zamimg.com/images/wow/icons/large/inv_potion_131.jpg,(1500 to 2500 hp),2,Netherbloom,1,Felweed,1,Imbued Vial,,,Clefthoof Meat,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_80.jpg
Potion,Free Action Potion,https://wow.zamimg.com/images/wow/icons/large/inv_potion_04.jpg,(Immune to Stun and Movement Impairing),1,Stranglekelp,4,Oily Blackmouth (2x Blackmouth Oil),1,Leaded Vial,1,Empty Vial,Oily Blackmouth,https://wow.zamimg.com/images/wow/icons/large/inv_misc_monsterhead_04.jpg
Potion,Living Action Potion,https://wow.zamimg.com/images/wow/icons/large/inv_potion_07.jpg,(Immune and Remove to Stun and Movement Impairing),2,Icecap,2,Mountain Silversage,2,Heart of the Wild,1,Crystal Vial,Heart of the Wild,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_08.jpg
Food,Fisherman's Feast,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_88_ravagernuggets.jpg,(30 stm 20 spi),1,Huge Spotted Feltail,5,Goldenbark Apple,5,Soothing Spices,,,Stranglekelp,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_11.jpg
Food,Spicy Crawdad,https://wow.zamimg.com/images/wow/icons/large/inv_misc_fish_16.jpg,(30 stm 20 spi),1,Furious Crawdad,,,,,,,Sandworm Meat,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_51.jpg
Food,Golden Fish Sticks,https://wow.zamimg.com/images/wow/icons/large/inv_misc_fish_18.jpg,(44 healing 20 spi),1,Golden Darter,,,,,,,Ravager Flesh,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_72.jpg
Food,Blackened Sporefish,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_79.jpg,(8 mp5 20 stm),1,Zangarian Sporefish,,,,,,,Figluster's Mudfish,https://wow.zamimg.com/images/wow/icons/large/inv_misc_fish_41.jpg
Food,Roasted Clefthoof,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_60.jpg,(20 str 20 spi),1,Clefthoof Meat,,,,,,,Warped Flesh,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_83_talbuksteak.jpg
Food,Smoked Desert Dumplings,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_64.jpg,(20 str),1,Sandworm Meat,1,Soothing Spices,,,,,Talbuk Venison,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_71.jpg
Food,Ravager Dog,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_53.jpg,(40 atk power 20 spi),1,Ravager Flesh,,,,,,,Chunk o' Basilisk,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_81.jpg
Food,Grilled Mudfish,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_78.jpg,(20 agi 20 spi),1,Figluster's Mudfish,,,,,,,Icefin Bluefish,https://wow.zamimg.com/images/wow/icons/large/inv_misc_fish_23.jpg
Food,Warp Burger,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_65.jpg,(20 agi 20 spi),1,Warped Flesh,,,,,,,Serpent Flesh,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_98_talbuk.jpg
Food,Spicy Hot Talbuk,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_84_roastclefthoof.jpg,(20 hit rating 20 spi),1,Talbuk Venison,1,Hot Spices,,,,,Crescent-Tail Skullfish,https://wow.zamimg.com/images/wow/icons/large/inv_misc_fish_40.jpg
Food,Blackened Basilisk,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_86_basilisk.jpg,(23 spell dmg 20 spi),1,Chunk o' Basilisk,,,,,,,Bloodfin Catfish,https://wow.zamimg.com/images/wow/icons/large/inv_misc_fish_29.jpg
Food,Poached Bluefish,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_76.jpg,(23 spell dmg 20 spi),1,Icefin Bluefish,,,,,,,Buzzard Meat,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_82.jpg
Food,Crunchy Serpent,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_88_ravagernuggets.jpg,(23 spell dmg 20 spi),1,Serpent Flesh,,,,,,,Strange Spores,https://wow.zamimg.com/images/wow/icons/large/classic_inv_misc_dust_04.jpg
Food,Skullfish Soup,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_63.jpg,(20 spell crit 20 spi),1,Crescent-Tail Skullfish,,,,,,,Soothing Spices,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_wheat_02.jpg
Food,Broiled Bloodfin,https://wow.zamimg.com/images/wow/icons/large/inv_misc_fish_29.jpg,(8 all resi),1,Bloodfin Catfish,,,,,,,Hot Spices,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_wheat_02.jpg
Food,Kibler's Bits,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_49.jpg,(20 str 20 spi) [pet],1,Buzzard Meat,,,,,,,Eternium Bar,https://wow.zamimg.com/images/wow/icons/large/inv_ingot_11.jpg
Food,Sporeling Snack,https://wow.zamimg.com/images/wow/icons/large/inv_misc_food_87_sporelingsnack.jpg,(20 stm 20 spi) [pet],1,Strange Spores,,,,,,,Khorium Bar,https://wow.zamimg.com/images/wow/icons/large/inv_ingot_09.jpg
Oil,Brilliant Mana Oil,https://wow.zamimg.com/images/wow/icons/large/inv_potion_100.jpg,(25 healing 12mp5),2,Large Brilliant Shard,3,Purple Lotus,1,Imbued Vial,,,Adamantite Bar,https://wow.zamimg.com/images/wow/icons/large/inv_ingot_10.jpg
Oil,Superior Mana Oil,https://wow.zamimg.com/images/wow/icons/large/inv_potion_101.jpg,(14 mp5),3,Arcane Dust,1,Netherbloom,1,Imbued Vial,,,Netherweave Cloth,https://wow.zamimg.com/images/wow/icons/large/inv_fabric_netherweave.jpg
Oil,Brilliant Wizard Oil,https://wow.zamimg.com/images/wow/icons/large/inv_potion_105.jpg,(36 spell dmg 14 spell crit),2,Large Brilliant Shard,3,Firebloom,1,Imbued Vial,,,Heavy Knothide Leather,https://wow.zamimg.com/images/wow/icons/large/inv_misc_leatherscrap_11.jpg
Oil,Superior Wizard Oil,https://wow.zamimg.com/images/wow/icons/large/inv_potion_141.jpg,(42 spell dmg),3,Arcane Dust,1,Nightmare Vine,1,Imbued Vial,,,Thick Clefthoof Leather,https://wow.zamimg.com/images/wow/icons/large/inv_misc_leatherscrap_14.jpg
Herb,Nightmare Seed,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_nightmareseed.jpg,(2000 hp 30 sec),1,Nightmare Seed,,,,,,,Nether Dragonscales,https://wow.zamimg.com/images/wow/icons/large/inv_misc_monsterscales_10.jpg
Herb,Flame Cap,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_flamecap.jpg,(80 fire spell dmg 40 fire dmg/hit),1,Flame Cap,,,,,,,Fel Scales,https://wow.zamimg.com/images/wow/icons/large/inv_misc_monsterscales_04.jpg
Stone,Greater Ward of Shielding,https://wow.zamimg.com/images/wow/icons/large/inv_misc_rune_13.jpg,(absorbs 4000 dmg),1,Eternium Bar,,,,,,,Nightmare Seed,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_nightmareseed.jpg
Stone,Greater Rune of Warding,https://wow.zamimg.com/images/wow/icons/large/inv_misc_rune_10.jpg,(25% absorbs 400 dmg),1,Khorium Bar,,,,,,,Flame Cap,https://wow.zamimg.com/images/wow/icons/large/inv_misc_herb_flamecap.jpg
Stone,Adamantite Sharpening Stone,https://wow.zamimg.com/images/wow/icons/large/inv_stone_sharpeningstone_07.jpg,(12 meele dmg 14 meele crit),1,Adamantite Bar,2,Mote of Earth,,,,,,
Stone,Adamantite Weightstone,https://wow.zamimg.com/images/wow/icons/large/inv_stone_weightstone_07.jpg,(12 meele dmg 14 meele crit),1,Adamantite Bar,2,Netherweave Cloth,,,,,,
Drums,Drums of Battle,https://wow.zamimg.com/images/wow/icons/large/inv_misc_drum_02.jpg,(80 spell haste 30 sec),6,Heavy Knothide Leather,4,Thick Clefthoof Leather,,,,,,
Drums,Drums of Restoration,https://wow.zamimg.com/images/wow/icons/large/inv_misc_drum_07.jpg,(600 hp and mana 15 sec),6,Heavy Knothide Leather,4,Nether Dragonscales,,,,,,
Drums,Drums of War,https://wow.zamimg.com/images/wow/icons/large/inv_misc_drum_03.jpg,(60 atk power 30 spell dmg 30 sec),3,Heavy Knothide Leather,3,Fel Scales,,,,,,
